filename,duration_v1,duration_c1,duration_v2,duration,f0_v1_mp,f0_v2_mp,in_v1_mp,in_c1_mp,in_v2_mp,f0_00,f0_05,f0_10,f0_15,f0_20,f0_25,f0_30,f0_35,f0_40,f0_45,f0_50,f0_55,f0_60,f0_65,f0_70,f0_75,f0_80,f0_85,f0_90,f0_95,f0_100,in_00,in_05,in_10,in_15,in_20,in_25,in_30,in_35,in_40,in_45,in_50,in_55,in_60,in_65,in_70,in_75,in_80,in_85,in_90,in_95,in_100
busca_sobras_alejandro,0.07221412809423855,0.089264352903652755,0.08339012410882313,0.24974052632590835,142.3616730131783,131.742694824237,82.10601276262842,62.937213433889085,84.55562317653391,168.7225727463746,158.58932409391596,145.24568995959373,142.05621872959424,139.36784181931608,136.2537261407528,135.30707626210062,136.89545859078189,137.31957998954846,NA,NA,NA,NA,NA,160.79702569942316,137.23112105220918,132.78405640298982,131.42706396670806,130.56324900283076,129.62895163443315,129.9099300824074,74.38771352123582,79.42336085431832,81.84341706930803,81.94382689990559,78.41549477159664,73.99378461036879,70.21703459631357,66.37276712541428,65.16189934673197,63.472288078574266,62.81376877298844,61.808860442873794,59.13347974097894,72.4020502861123,80.52350647312743,82.44910178037519,83.45540437505841,85.02485425882561,85.05422697303638,82.41764370941176,80.52017193179817
busca_sobras_cristina,0.11214996426244932,0.2020137176778734,0.1430630954373553,0.4672915177602056,187.06520567069936,221.51576674235696,83.45901510781908,73.97331420306767,85.96861438400795,211.7915817044575,193.68719043401896,188.5758227710665,185.39199520228897,183.33806576155263,182.9978006893024,165.34897887581658,159.40945270270936,NA,NA,NA,NA,NA,75.57786784620558,231.55728618647976,226.2738155190202,220.64837078445015,221.61742669991995,224.8958028312387,229.51540519418663,226.28652435732783,82.56384243253461,84.77448688022297,84.01167891731016,82.35101739668605,80.57144353267702,77.17523341853924,72.95174294394765,73.80890017833569,73.8602807676812,74.8586259713907,76.02167389253381,75.23450632843895,71.87743583292932,68.81710279045775,85.77968389545714,86.7860395741489,86.54383552213785,85.92460656087917,85.97344545194743,85.50894700990511,77.52543502098885
busca_sobras_david,0.06932238428086929,0.08931104723302175,0.0927133728418988,0.25815145557354385,127.40805168927606,141.55376258607942,80.33297231319234,75.9369529284001,80.6674046058112,162.61095155353595,139.5757431660943,129.2374840393851,126.68574268714698,124.76643352172428,122.78495965170828,125.21572497191823,127.43406133577098,127.4772894401503,130.20111928959045,134.1965861399619,134.33355776215095,131.37181695026297,140.53892061244363,145.7910213734412,143.63659784662048,142.16391761204932,141.70240094026445,143.51880103903818,143.93752966059873,145.04928939915473,75.5961795746954,80.6051627975601,81.10986335752727,80.03364408730613,79.12774995712145,78.44538260509796,77.97702347366382,76.83957126065032,75.82886281384373,75.92283216836738,75.11257970989043,72.47726418074507,71.031954229802,76.74135135659755,80.3156122863687,81.41237776019298,80.95224729947125,80.56913096836638,80.60042963522446,79.2941597267931,79.00302504365695
busca_sobras_lola,0.06048789456442416,0.0981342065660587,0.07656160081231306,0.2406826014486526,184.76306371843137,219.0224619205842,76.48132129761375,78.00274812533429,81.64048763161902,NA,191.31652458064625,186.6292661289574,183.9966299897826,183.00172510488352,184.90340626918012,184.6949428809488,NA,NA,NA,NA,NA,NA,232.89712243894985,224.84261424204672,222.48543789863615,220.35681381973015,219.06559028856344,220.4436115192406,223.14192827086708,227.53294779016676,73.8404082611788,76.76213866204303,76.8312780669165,75.60202527219244,72.13563766425816,69.67866943117637,72.4530298560188,75.54073661200546,77.3004804277522,77.86962613454298,78.31530830066835,76.94777000894308,73.96740624804136,70.2835431398159,75.86796066120893,79.20353340903783,80.71200921573556,81.77925853143896,82.03777821041042,81.52820394100445,80.71809609722405
busca_sobras_sergio,0.0406428070451228,0.08277709324786475,0.07009952040810169,0.1976209883845421,163.48646819453242,167.4944830736051,77.96566996794259,68.81691557092041,87.83836778296418,166.25571865055335,164.1506493823624,163.5378522224043,162.73696980145107,162.2974114789595,159.2348083306056,150.6763841422453,150.84551071368887,NA,NA,NA,NA,NA,214.05463896911357,172.42103768725374,172.11556113353902,168.94939577792138,165.73585079525586,163.55702190622372,162.60770142623048,162.13617998528122,78.15497397166641,79.56021952033822,78.08938173480067,75.75735361424476,73.84054879346725,71.6665458047833,69.70747375958945,68.88878530255626,68.5684515836061,69.47503658376766,69.93222376511025,68.30755831130725,72.06651678375441,79.82425491258479,83.60892054882628,85.84454841429577,87.3824290318886,88.24249402011975,88.24034848384737,86.57990450672594,83.86798960965972
busca_sobras_txell,0.05164667929167271,0.1377244781111272,0.10655035637651394,0.302900794764675,236.7987770743629,191.1793230750013,83.00783287340236,62.466733647670665,86.50934798404201,240.57868466734976,238.4087783118152,236.0084761022212,231.68979886671087,223.99140250821935,221.83350998404052,NA,NA,NA,NA,NA,NA,NA,227.6744560456497,200.64684041012632,196.5979554187728,192.79136913414527,189.61061683196888,188.0794713716195,187.88091771120187,187.72544243256496,81.29117913757767,83.43791820110908,82.07963894538564,75.22395710698487,66.54579482084802,63.80456209110722,63.31532203880062,62.471125776493906,62.450837204193405,62.46258280179226,61.02624675803009,61.00569705446837,62.02881028657987,75.80070434978653,82.19216954088523,85.72777762535961,86.8282887797147,85.96949953199446,84.76359326815508,81.80419616690915,79.14250776437898
buscas_obras_alejandro,0.07146212015658177,0.08153980708265679,0.09668404491772824,0.25957564233346603,126.37506177432296,117.02501955649416,82.67565092688153,76.97445353364051,80.3969452976508,153.25607416081994,133.20890143421528,128.56808221880797,125.83631253636746,124.01991522171744,123.83876751902184,122.93186090220544,122.66588483631776,NA,385.87505818178295,383.9299233188839,381.55347260504266,NA,131.56780685286984,123.45029312063934,120.11609030731542,117.4713619089697,116.30202217987376,115.30495667294348,113.4507354740784,110.54572395858072,77.5951280448795,82.70398312598859,83.06749081915517,82.18005636092596,78.27351888713919,72.80704855310434,69.13913544681562,70.09083229099724,75.52792181436462,76.65056159789098,71.19991660004038,65.49452504010863,71.7297211897993,78.20651857757265,81.21122513682428,81.45169620843424,80.61224114471355,79.93524396998471,79.10717305549818,77.31298491906418,73.78071722494921
buscas_obras_cristina,0.08205318316776444,0.10355677599793715,0.13411451317765627,0.32594919658367105,203.92491339937743,199.8402018214584,85.32071463297086,70.6719263848045,86.42581914475205,272.80127657605846,251.43921112640265,205.6581695752588,203.51265229138684,201.4109821194531,196.7825447274733,176.99910874477283,NA,NA,NA,NA,NA,223.03590343259185,199.81889475154443,199.29695489238512,199.7898126872328,199.80113637800497,198.96980028054608,197.0263183972944,194.09622134428352,186.17915467180975,78.53960744140974,83.7207596348169,85.25211145527715,85.44766629822168,84.15491772471958,78.82757221182037,74.56417335811348,71.14335089324726,70.74388231409574,69.9821533557154,64.91953724189729,68.77402289290436,82.43031802263452,84.05879391376597,85.0179674319907,85.82601690257194,86.47785715098645,86.55202574744699,85.50486313662198,82.36465308288247,75.86950268188416
buscas_obras_david,0.06154657298646152,0.07542472179713422,0.11042179271100457,0.2570474518846335,115.96600812079824,103.34807479318812,79.7415182596653,76.22918524241126,81.41870831148681,NA,121.62951463347788,116.1195678492388,114.53460248110991,111.79524444814705,108.78594043213734,101.6728981269548,NA,NA,NA,NA,NA,110.83579591121249,110.4433984276099,107.33202385832764,104.24127943728784,103.29391569201886,103.88974391494152,102.62404387111492,99.11245263185188,102.11191518129785,75.93743744069114,79.51271778258237,79.99689438571004,79.21276766596974,77.62652845444492,74.78391575098661,74.44334645680212,76.13357747463749,76.22579900610174,75.8461433223897,71.59028873062027,71.16656403437155,75.46647591269782,78.53572529855322,80.4582194072252,81.44643180695064,81.27947136763561,80.38963118931662,78.64108897624628,76.50735088205852,75.38469439304197
buscas_obras_lola,0.0602229527434979,0.10183153827536916,0.10456894521825544,0.26826588040285426,189.09577586057193,167.49668971909517,81.13743351644435,78.40132214336148,81.67625847948088,NA,207.84343613752216,189.72653696477585,187.9415042794739,185.1627094090053,185.36634379964536,NA,NA,NA,NA,NA,NA,195.40229693280617,184.64539621556585,178.86763612748737,173.64123058121828,167.92065381180817,165.42114075932196,162.92121696000655,159.21602628284745,156.17666498999722,77.19911437410643,81.40811729186315,81.24244841484922,80.3193916809873,76.86851726037631,74.44236695623312,77.54680990797605,77.8298652719306,78.13758100872872,78.35199756267745,75.83867554265422,70.70592375936322,74.00351812212944,80.3676201304383,82.16529239062368,81.92962971965336,81.65632454614992,81.80900362854464,81.61183414048517,79.72717695120663,76.8406937356593
